id,y,z,latitude,longitude,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,fold10
1,-0.844504422,1.370958447,2.5,2.5,1,2,2,2,2,1,2,2,2,2
2,-0.832567736,-0.564698171,2.5,7.5,1,2,2,2,2,1,2,2,2,2
3,-0.793994626,0.363128411,2.5,12.5,1,0,2,2,2,1,2,2,2,2
4,-0.730340274,0.632862605,2.5,17.5,1,0,2,2,2,1,2,2,2,2
5,-0.64149299,0.404268323,2.5,22.5,0,1,2,2,2,1,2,2,2,2
6,-0.527385071,-0.106124516,2.5,27.5,0,1,2,2,2,1,2,2,2,2
7,-0.387048456,1.511521997,2.5,32.5,2,1,0,2,2,1,2,2,2,2
8,-0.222414777,-0.094659038,2.5,37.5,2,1,0,2,2,1,2,2,2,2
9,-0.031305729,2.018423714,2.5,42.5,2,0,1,2,2,1,2,2,2,2
10,0.184220736,-0.062714099,2.5,47.5,2,0,1,2,2,1,2,2,2,2
11,0.426173225,1.304869654,2.5,52.5,2,2,1,0,2,1,2,2,2,2
12,0.692910262,2.286645393,2.5,57.5,2,2,1,0,2,1,2,2,2,2
13,0.984284507,-1.388860701,2.5,62.5,2,2,0,1,2,1,2,2,2,2
14,1.302315869,-0.278788767,2.5,67.5,2,2,0,1,2,1,2,2,2,2
15,1.645473236,-0.133321336,2.5,72.5,2,2,2,1,0,1,2,2,2,2
16,2.01434145,0.635950398,2.5,77.5,2,2,2,1,0,1,2,2,2,2
17,2.407809497,-0.284252921,2.5,82.5,2,2,2,0,1,1,2,2,2,2
18,2.827041195,-2.656455421,2.5,87.5,2,2,2,0,1,1,2,2,2,2
19,3.271690231,-2.440466929,2.5,92.5,2,2,2,2,1,1,2,2,2,2
20,3.742664092,1.320113346,2.5,97.5,2,2,2,2,1,1,2,2,2,2
21,-0.832449153,-0.306638594,7.5,2.5,1,2,2,2,2,1,2,2,2,2
22,-0.845499635,-1.781308434,7.5,7.5,1,2,2,2,2,1,2,2,2,2
23,-0.832382679,-0.171917356,7.5,12.5,1,0,2,2,2,1,2,2,2,2
24,-0.793698782,1.214674699,7.5,17.5,1,0,2,2,2,1,2,2,2,2
25,-0.730159131,1.895193461,7.5,22.5,0,1,2,2,2,1,2,2,2,2
26,-0.641905019,-0.430469132,7.5,27.5,0,1,2,2,2,1,2,2,2,2
27,-0.527460557,-0.257269383,7.5,32.5,2,1,0,2,2,1,2,2,2,2
28,-0.388054737,-1.763163085,7.5,37.5,2,1,0,2,2,1,2,2,2,2
29,-0.222141045,0.460097355,7.5,42.5,2,0,1,2,2,1,2,2,2,2
30,-0.032067463,-0.639994876,7.5,47.5,2,0,1,2,2,1,2,2,2,2
31,0.184476164,0.455450123,7.5,52.5,2,2,1,0,2,1,2,2,2,2
32,0.426012133,0.704837337,7.5,57.5,2,2,1,0,2,1,2,2,2,2
33,0.692963823,1.035103522,7.5,62.5,2,2,0,1,2,1,2,2,2,2
34,0.984493666,-0.608926375,7.5,67.5,2,2,0,1,2,1,2,2,2,2
35,1.302701628,0.504955123,7.5,72.5,2,2,2,1,0,1,2,2,2,2
36,1.645037948,-1.717008679,7.5,77.5,2,2,2,1,0,1,2,2,2,2
37,2.013680498,-0.784459008,7.5,82.5,2,2,2,0,1,1,2,2,2,2
38,2.407569877,-0.850907594,7.5,87.5,2,2,2,0,1,1,2,2,2,2
39,2.826940258,-2.41420765,7.5,92.5,2,2,2,2,1,1,2,2,2,2
40,3.272036464,0.036122607,7.5,97.5,2,2,2,2,1,1,2,2,2,2
41,-0.794071201,0.2059986,12.5,2.5,1,2,2,2,2,1,0,2,2,2
42,-0.832475282,-0.361057299,12.5,7.5,1,2,2,2,2,1,0,2,2,2
43,-0.844653098,0.758163236,12.5,12.5,1,0,2,2,2,1,0,2,2,2
44,-0.83263343,-0.726704827,12.5,17.5,1,0,2,2,2,1,0,2,2,2
45,-0.794673052,-1.368281044,12.5,22.5,0,1,2,2,2,1,0,2,2,2
46,-0.73042771,0.432818026,12.5,27.5,0,1,2,2,2,1,0,2,2,2
47,-0.642061542,-0.811393176,12.5,32.5,2,1,0,2,2,1,0,2,2,2
48,-0.526827031,1.444101262,12.5,37.5,2,1,0,2,2,1,0,2,2,2
49,-0.387768391,-0.431446203,12.5,42.5,2,0,1,2,2,1,0,2,2,2
50,-0.222056855,0.655647883,12.5,47.5,2,0,1,2,2,1,0,2,2,2
51,-0.031603112,0.321925265,12.5,52.5,2,2,1,0,2,1,0,2,2,2
52,0.183893748,-0.783838941,12.5,57.5,2,2,1,0,2,1,0,2,2,2
53,0.426191085,1.57572752,12.5,62.5,2,2,0,1,2,1,0,2,2,2
54,0.69283147,0.642899306,12.5,67.5,2,2,0,1,2,1,0,2,2,2
55,0.984829954,0.089760647,12.5,72.5,2,2,2,1,0,1,0,2,2,2
56,1.30259452,0.276550747,12.5,77.5,2,2,2,1,0,1,0,2,2,2
57,1.645860117,0.679288816,12.5,82.5,2,2,2,0,1,1,0,2,2,2
58,2.014085162,0.089832887,12.5,87.5,2,2,2,0,1,1,0,2,2,2
59,2.407876835,-2.993090083,12.5,92.5,2,2,2,2,1,1,0,2,2,2
60,2.827421067,0.284882954,12.5,97.5,2,2,2,2,1,1,0,2,2,2
61,-0.730823384,-0.367234643,17.5,2.5,1,2,2,2,2,1,0,2,2,2
62,-0.794081555,0.185230565,17.5,7.5,1,2,2,2,2,1,0,2,2,2
63,-0.832016406,0.581823727,17.5,12.5,1,0,2,2,2,1,0,2,2,2
64,-0.844501725,1.399736827,17.5,17.5,1,0,2,2,2,1,0,2,2,2
65,-0.832633653,-0.727292059,17.5,22.5,0,1,2,2,2,1,0,2,2,2
66,-0.793685069,1.302542632,17.5,27.5,0,1,2,2,2,1,0,2,2,2
67,-0.730473383,0.33584812,17.5,32.5,2,1,0,2,2,1,0,2,2,2
68,-0.641254965,1.038506099,17.5,37.5,2,1,0,2,2,1,0,2,2,2
