,id,y,longitude,latitude,z,nn0,nn1,nn2,nn3,nn4,nn5,nn6,nn7,nn8,nn9,nn10,nn11,nn12,nn13,nn14,nn15,nn16,nn17,nn18,nn19,nn20,nn21,nn22,nn23,nn24,nn25,nn26,nn27,nn28,nn29,lon_group,lat_group,s_id,lon_group1,lon_group2,lon_group3,lon_group4,lon_group5,lat_group1,lat_group2,lat_group3,lat_group4,lat_group5
0,0,-0.844504422,2.5,2.5,1.3709584469999998,-0.8325677359999999,-0.832449153,-0.845499635,-0.7939946259999999,-0.794071201,-0.8323826790000001,-0.832475282,-0.844653098,-0.730823384,-0.730340274,-0.793698782,-0.794081555,-0.83263343,-0.8320164059999999,-0.641185501,-0.64149299,-0.7305112490000001,-0.730159131,-0.844501725,-0.7941302720000001,-0.794673052,-0.527385071,-0.526857323,-0.8323570259999999,-0.8326336529999999,-0.641253362,-0.641905019,-0.73042771,-0.731069472,-0.8454752609999999,1,1,1,1,2,2,2,2,1,2,2,2,2
1,1,-0.8325677359999999,7.5,2.5,-0.564698171,-0.844504422,-0.845499635,-0.7939946259999999,-0.832449153,-0.8323826790000001,-0.730340274,-0.832475282,-0.844653098,-0.793698782,-0.794071201,-0.83263343,-0.64149299,-0.794081555,-0.730823384,-0.8320164059999999,-0.730159131,-0.844501725,-0.794673052,-0.527385071,-0.7305112490000001,-0.641905019,-0.7941302720000001,-0.641185501,-0.8326336529999999,-0.8323570259999999,-0.73042771,-0.641253362,-0.793685069,-0.8454752609999999,-0.38704845600000004,1,1,1,1,2,2,2,2,1,2,2,2,2
2,2,-0.7939946259999999,12.5,2.5,0.36312841100000004,-0.8325677359999999,-0.730340274,-0.8323826790000001,-0.845499635,-0.793698782,-0.844653098,-0.64149299,-0.844504422,-0.832449153,-0.730159131,-0.83263343,-0.832475282,-0.794673052,-0.794071201,-0.8320164059999999,-0.527385071,-0.641905019,-0.844501725,-0.794081555,-0.730823384,-0.8326336529999999,-0.73042771,-0.38704845600000004,-0.7941302720000001,-0.7305112490000001,-0.527460557,-0.8323570259999999,-0.793685069,-0.641185501,-0.8454752609999999,1,1,1,1,0,2,2,2,1,2,2,2,2
3,3,-0.730340274,17.5,2.5,0.632862605,-0.793698782,-0.7939946259999999,-0.64149299,-0.730159131,-0.8323826790000001,-0.527385071,-0.8325677359999999,-0.83263343,-0.844653098,-0.794673052,-0.641905019,-0.845499635,-0.832475282,-0.73042771,-0.844504422,-0.38704845600000004,-0.844501725,-0.8320164059999999,-0.527460557,-0.832449153,-0.8326336529999999,-0.794071201,-0.793685069,-0.794081555,-0.642061542,-0.22241477699999998,-0.8323570259999999,-0.38805473700000004,-0.8454752609999999,-0.7941302720000001,1,1,1,1,0,2,2,2,1,2,2,2,2
4,4,-0.64149299,22.5,2.5,0.404268323,-0.730159131,-0.730340274,-0.527385071,-0.641905019,-0.793698782,-0.7939946259999999,-0.794673052,-0.38704845600000004,-0.527460557,-0.83263343,-0.8323826790000001,-0.73042771,-0.844653098,-0.642061542,-0.8325677359999999,-0.8326336529999999,-0.22241477699999998,-0.793685069,-0.38805473700000004,-0.845499635,-0.844501725,-0.5268270310000001,-0.832475282,-0.8320164059999999,-0.730473383,-0.844504422,-0.031305729,-0.8454752609999999,-0.8323570259999999,-0.8320037220000001,2,1,1,0,1,2,2,2,1,2,2,2,2
5,5,-0.527385071,27.5,2.5,-0.106124516,-0.38704845600000004,-0.641905019,-0.64149299,-0.527460557,-0.730159131,-0.22241477699999998,-0.73042771,-0.730340274,-0.38805473700000004,-0.794673052,-0.793698782,-0.642061542,-0.83263343,-0.5268270310000001,-0.793685069,-0.031305729,-0.7939946259999999,-0.222141045,-0.8323826790000001,-0.8326336529999999,-0.730473383,-0.641254965,-0.387768391,-0.844653098,-0.844501725,0.18422073600000002,-0.8320037220000001,-0.8325677359999999,-0.794284667,-0.032067463,2,1,1,0,1,2,2,2,1,2,2,2,2
6,6,-0.38704845600000004,32.5,2.5,1.5115219969999998,-0.527385071,-0.22241477699999998,-0.527460557,-0.38805473700000004,-0.641905019,-0.031305729,-0.64149299,-0.642061542,-0.730159131,-0.73042771,-0.5268270310000001,-0.222141045,-0.387768391,-0.794673052,-0.730473383,0.18422073600000002,-0.730340274,-0.641254965,-0.032067463,-0.793685069,-0.793698782,-0.526926624,-0.83263343,-0.8326336529999999,-0.222056855,0.426173225,-0.794284667,-0.7939946259999999,-0.73073327,-0.8320037220000001,2,1,1,2,1,0,2,2,1,2,2,2,2
7,7,-0.22241477699999998,37.5,2.5,-0.094659038,-0.38805473700000004,-0.031305729,-0.38704845600000004,-0.222141045,-0.527460557,-0.527385071,0.18422073600000002,-0.5268270310000001,-0.641905019,-0.642061542,-0.387768391,-0.032067463,-0.73042771,-0.222056855,-0.641254965,0.426173225,-0.64149299,-0.730159131,0.184476164,-0.526926624,-0.730473383,-0.387220354,-0.031603112,-0.794673052,-0.793685069,0.692910262,-0.73073327,-0.730340274,-0.793698782,-0.794284667,2,1,1,2,1,0,2,2,1,2,2,2,2
8,8,-0.031305729,42.5,2.5,2.018423714,-0.22241477699999998,-0.222141045,0.18422073600000002,-0.38805473700000004,-0.032067463,0.426173225,-0.38704845600000004,-0.387768391,0.184476164,-0.527460557,-0.5268270310000001,-0.222056855,-0.642061542,-0.031603112,-0.527385071,0.692910262,-0.526926624,-0.641254965,-0.387220354,0.42601213299999996,-0.641905019,-0.73042771,0.183893748,-0.730473383,-0.222805874,-0.64149299,-0.64128446,0.984284507,-0.526958995,-0.73073327,3,1,1,2,0,1,2,2,1,2,2,2,2
9,9,0.18422073600000002,47.5,2.5,-0.06271409900000001,-0.031305729,-0.032067463,0.426173225,-0.222141045,0.184476164,-0.22241477699999998,0.692910262,-0.222056855,0.42601213299999996,-0.031603112,-0.38805473700000004,-0.387768391,0.183893748,-0.5268270310000001,-0.38704845600000004,-0.387220354,0.984284507,-0.526926624,-0.527460557,-0.222805874,0.6929638229999999,-0.641254965,-0.642061542,0.426191085,-0.031809704,1.302315869,-0.526958995,-0.527385071,-0.64128446,-0.387055656,3,1,1,2,0,1,2,2,1,2,2,2,2
