id,y,longitude,latitude,z,nn0,nn1,nn2,nn3,nn4,nn5,nn6,nn7,nn8,nn9,nn10,nn11,nn12,nn13,nn14,nn15,nn16,nn17,nn18,nn19,nn20,nn21,nn22,nn23,nn24,nn25,nn26,nn27,nn28,nn29
0,-0.844504422,2.5,2.5,1.370958447,-0.832567736,-0.832449153,-0.845499635,-0.793994626,-0.794071201,-0.832382679,-0.832475282,-0.844653098,-0.730823384,-0.730340274,-0.793698782,-0.794081555,-0.83263343,-0.832016406,-0.641185501,-0.64149299,-0.730511249,-0.730159131,-0.844501725,-0.794130272,-0.794673052,-0.527385071,-0.526857323,-0.832357026,-0.832633653,-0.641253362,-0.641905019,-0.73042771,-0.731069472,-0.845475261
1,-0.832567736,7.5,2.5,-0.564698171,-0.844504422,-0.845499635,-0.793994626,-0.832449153,-0.832382679,-0.730340274,-0.832475282,-0.844653098,-0.793698782,-0.794071201,-0.83263343,-0.64149299,-0.794081555,-0.730823384,-0.832016406,-0.730159131,-0.844501725,-0.794673052,-0.527385071,-0.730511249,-0.641905019,-0.794130272,-0.641185501,-0.832633653,-0.832357026,-0.73042771,-0.641253362,-0.793685069,-0.845475261,-0.387048456
2,-0.793994626,12.5,2.5,0.363128411,-0.832567736,-0.730340274,-0.832382679,-0.845499635,-0.793698782,-0.844653098,-0.64149299,-0.844504422,-0.832449153,-0.730159131,-0.83263343,-0.832475282,-0.794673052,-0.794071201,-0.832016406,-0.527385071,-0.641905019,-0.844501725,-0.794081555,-0.730823384,-0.832633653,-0.73042771,-0.387048456,-0.794130272,-0.730511249,-0.527460557,-0.832357026,-0.793685069,-0.641185501,-0.845475261
3,-0.730340274,17.5,2.5,0.632862605,-0.793698782,-0.793994626,-0.64149299,-0.730159131,-0.832382679,-0.527385071,-0.832567736,-0.83263343,-0.844653098,-0.794673052,-0.641905019,-0.845499635,-0.832475282,-0.73042771,-0.844504422,-0.387048456,-0.844501725,-0.832016406,-0.527460557,-0.832449153,-0.832633653,-0.794071201,-0.793685069,-0.794081555,-0.642061542,-0.222414777,-0.832357026,-0.388054737,-0.845475261,-0.794130272
4,-0.64149299,22.5,2.5,0.404268323,-0.730159131,-0.730340274,-0.527385071,-0.641905019,-0.793698782,-0.793994626,-0.794673052,-0.387048456,-0.527460557,-0.83263343,-0.832382679,-0.73042771,-0.844653098,-0.642061542,-0.832567736,-0.832633653,-0.222414777,-0.793685069,-0.388054737,-0.845499635,-0.844501725,-0.526827031,-0.832475282,-0.832016406,-0.730473383,-0.844504422,-0.031305729,-0.845475261,-0.832357026,-0.832003722
5,-0.527385071,27.5,2.5,-0.106124516,-0.387048456,-0.641905019,-0.64149299,-0.527460557,-0.730159131,-0.222414777,-0.73042771,-0.730340274,-0.388054737,-0.794673052,-0.793698782,-0.642061542,-0.83263343,-0.526827031,-0.793685069,-0.031305729,-0.793994626,-0.222141045,-0.832382679,-0.832633653,-0.730473383,-0.641254965,-0.387768391,-0.844653098,-0.844501725,0.184220736,-0.832003722,-0.832567736,-0.794284667,-0.032067463
6,-0.387048456,32.5,2.5,1.511521997,-0.527385071,-0.222414777,-0.527460557,-0.388054737,-0.641905019,-0.031305729,-0.64149299,-0.642061542,-0.730159131,-0.73042771,-0.526827031,-0.222141045,-0.387768391,-0.794673052,-0.730473383,0.184220736,-0.730340274,-0.641254965,-0.032067463,-0.793685069,-0.793698782,-0.526926624,-0.83263343,-0.832633653,-0.222056855,0.426173225,-0.794284667,-0.793994626,-0.73073327,-0.832003722
7,-0.222414777,37.5,2.5,-0.094659038,-0.388054737,-0.031305729,-0.387048456,-0.222141045,-0.527460557,-0.527385071,0.184220736,-0.526827031,-0.641905019,-0.642061542,-0.387768391,-0.032067463,-0.73042771,-0.222056855,-0.641254965,0.426173225,-0.64149299,-0.730159131,0.184476164,-0.526926624,-0.730473383,-0.387220354,-0.031603112,-0.794673052,-0.793685069,0.692910262,-0.73073327,-0.730340274,-0.793698782,-0.794284667
8,-0.031305729,42.5,2.5,2.018423714,-0.222414777,-0.222141045,0.184220736,-0.388054737,-0.032067463,0.426173225,-0.387048456,-0.387768391,0.184476164,-0.527460557,-0.526827031,-0.222056855,-0.642061542,-0.031603112,-0.527385071,0.692910262,-0.526926624,-0.641254965,-0.387220354,0.426012133,-0.641905019,-0.73042771,0.183893748,-0.730473383,-0.222805874,-0.64149299,-0.64128446,0.984284507,-0.526958995,-0.73073327
9,0.184220736,47.5,2.5,-0.062714099,-0.031305729,-0.032067463,0.426173225,-0.222141045,0.184476164,-0.222414777,0.692910262,-0.222056855,0.426012133,-0.031603112,-0.388054737,-0.387768391,0.183893748,-0.526827031,-0.387048456,-0.387220354,0.984284507,-0.526926624,-0.527460557,-0.222805874,0.692963823,-0.641254965,-0.642061542,0.426191085,-0.031809704,1.302315869,-0.526958995,-0.527385071,-0.64128446,-0.387055656
10,0.426173225,52.5,2.5,1.304869654,0.184220736,0.692910262,0.184476164,0.426012133,-0.032067463,0.984284507,-0.031305729,-0.031603112,0.692963823,-0.222056855,-0.222141045,0.183893748,0.426191085,-0.387768391,-0.222805874,1.302315869,-0.222414777,0.984493666,-0.387220354,-0.388054737,-0.031809704,0.18454937,-0.526926624,0.69283147,-0.526827031,-0.387055656,-0.387048456,1.645473236,-0.527460557,-0.22259972
11,0.692910262,57.5,2.5,2.286645393,0.984284507,0.426012133,0.426173225,0.184476164,0.692963823,0.184220736,0.183893748,1.302315869,-0.032067463,-0.031603112,0.426191085,0.984493666,-0.222056855,0.69283147,1.645473236,-0.031305729,-0.031809704,1.302701628,-0.222141045,0.18454937,-0.222805874,0.425268339,-0.387220354,-0.387768391,0.984829954,-0.222414777,2.01434145,-0.22259972,1.645037948,-0.031456185
12,0.984284507,62.5,2.5,-1.388860701,0.692963823,0.692910262,1.302315869,0.426012133,0.984493666,0.426173225,1.645473236,0.426191085,0.184476164,1.302701628,0.69283147,0.183893748,-0.031603112,0.984829954,2.01434145,0.184220736,0.18454937,0.425268339,1.645037948,-0.031809704,-0.032067463,0.692264196,1.30259452,-0.222056855,-0.222805874,-0.031456185,2.407809497,-0.031305729,2.013680498,-0.22259972
13,1.302315869,67.5,2.5,-0.278788767,0.984493666,1.645473236,0.984284507,0.692963823,1.302701628,0.69283147,0.692910262,2.01434145,0.426012133,0.426191085,1.645037948,0.984829954,0.183893748,1.30259452,0.425268339,2.407809497,0.426173225,0.184476164,0.18454937,2.013680498,0.692264196,-0.031809704,0.985063362,-0.031603112,1.645860117,0.184752682,0.184220736,2.827041195,-0.031456185,0.425227378
14,1.645473236,72.5,2.5,-0.133321336,1.302701628,1.302315869,2.01434145,1.645037948,0.984493666,0.984284507,0.984829954,2.407809497,2.013680498,0.69283147,0.692963823,1.30259452,1.645860117,0.426191085,2.827041195,0.692910262,0.692264196,0.985063362,0.425268339,2.407569877,0.426012133,1.302808904,0.18454937,2.014085162,0.183893748,0.426173225,0.425227378,3.271690231,0.184752682,0.692141296
15,2.01434145,77.5,2.5,0.635950398,2.407809497,1.645473236,1.645037948,1.302701628,2.013680498,2.827041195,1.30259452,1.302315869,1.645860117,0.984829954,2.407569877,0.984493666,0.69283147,2.014085162,0.985063362,0.984284507,3.271690231,0.692963823,1.302808904,0.692264196,2.826940258,2.407876835,1.64576816,0.426191085,0.425268339,3.742664092,0.692910262,0.692141296,3.272036464,0.984324326
