houseValue,income,houseAge,rooms,bedrooms,population,households,latitude,longitude
452600,8.3252000,41,880,129,322,126,37.8800000,-122.2300000
358500,8.3014000,21,7099,1106,2401,1138,37.8600000,-122.2200000
352100,7.2574000,52,1467,190,496,177,37.8500000,-122.2400000
341300,5.6431000,52,1274,235,558,219,37.8500000,-122.2500000
342200,3.8462000,52,1627,280,565,259,37.8500000,-122.2500000
269700,4.0368000,52,919,213,413,193,37.8500000,-122.2500000
299200,3.6591000,52,2535,489,1094,514,37.8400000,-122.2500000
241400,3.1200000,52,3104,687,1157,647,37.8400000,-122.2500000
226700,2.0804000,42,2555,665,1206,595,37.8400000,-122.2600000
261100,3.6912000,52,3549,707,1551,714,37.8400000,-122.2500000
281500,3.2031000,52,2202,434,910,402,37.8500000,-122.2600000
241800,3.2705000,52,3503,752,1504,734,37.8500000,-122.2600000
213500,3.0750000,52,2491,474,1098,468,37.8500000,-122.2600000
191300,2.6736000,52,696,191,345,174,37.8400000,-122.2600000
159200,1.9167000,52,2643,626,1212,620,37.8500000,-122.2600000
140000,2.1250000,50,1120,283,697,264,37.8500000,-122.2600000
152500,2.7750000,52,1966,347,793,331,37.8500000,-122.2700000
155500,2.1202000,52,1228,293,648,303,37.8500000,-122.2700000
158700,1.9911000,50,2239,455,990,419,37.8400000,-122.2600000
162900,2.6033000,52,1503,298,690,275,37.8400000,-122.2700000
147500,1.3578000,40,751,184,409,166,37.8500000,-122.2700000
159800,1.7135000,42,1639,367,929,366,37.8500000,-122.2700000
113900,1.7250000,52,2436,541,1015,478,37.8400000,-122.2700000
99700,2.1806000,52,1688,337,853,325,37.8400000,-122.2700000
132600,2.6000000,52,2224,437,1006,422,37.8400000,-122.2700000
107500,2.4038000,41,535,123,317,119,37.8500000,-122.2800000
93800,2.4597000,49,1130,244,607,239,37.8500000,-122.2800000
105500,1.8080000,52,1898,421,1102,397,37.8500000,-122.2800000
108900,1.6424000,50,2082,492,1131,473,37.8400000,-122.2800000
132000,1.6875000,52,729,160,395,155,37.8400000,-122.2800000
122300,1.9274000,49,1916,447,863,378,37.8400000,-122.2800000
115200,1.9615000,52,2153,481,1168,441,37.8400000,-122.2800000
110400,1.7969000,48,1922,409,1026,335,37.8400000,-122.2700000
104900,1.3750000,49,1655,366,754,329,37.8300000,-122.2700000
109700,2.7303000,51,2665,574,1258,536,37.8300000,-122.2700000
97200,1.4861000,49,1215,282,570,264,37.8300000,-122.2700000
104500,1.0972000,48,1798,432,987,374,37.8300000,-122.2700000
103900,1.4103000,52,1511,390,901,403,37.8300000,-122.2800000
191400,3.4800000,52,1470,330,689,309,37.8300000,-122.2600000
176000,2.5898000,52,2432,715,1377,696,37.8300000,-122.2600000
155400,2.0978000,52,1665,419,946,395,37.8300000,-122.2600000
150000,1.2852000,51,936,311,517,249,37.8300000,-122.2600000
118800,1.0250000,49,713,202,462,189,37.8400000,-122.2600000
188800,3.9643000,52,950,202,467,198,37.8400000,-122.2600000
184400,3.0125000,52,1443,311,660,292,37.8300000,-122.2600000
182300,2.6768000,52,1656,420,718,382,37.8300000,-122.2600000
142500,2.0260000,50,1125,322,616,304,37.8300000,-122.2600000
137500,1.7348000,43,1007,312,558,253,37.8200000,-122.2700000
187500,0.9506000,40,624,195,423,160,37.8200000,-122.2600000
112500,1.7750000,40,946,375,700,352,37.8200000,-122.2700000
171900,0.9218000,21,896,453,735,438,37.8200000,-122.2700000
93800,1.5045000,43,1868,456,1061,407,37.8200000,-122.2700000
97500,1.1108000,41,3221,853,1959,720,37.8200000,-122.2700000
104200,1.2475000,52,1630,456,1162,400,37.8200000,-122.2700000
87500,1.6098000,52,1170,235,701,233,37.8200000,-122.2800000
83100,1.4113000,52,945,243,576,220,37.8200000,-122.2800000
87500,1.5057000,52,1238,288,622,259,37.8200000,-122.2800000
85300,0.8172000,52,1489,335,728,244,37.8200000,-122.2800000
80300,1.2171000,52,1387,341,1074,304,37.8200000,-122.2800000
60000,2.5625000,2,158,43,94,57,37.8200000,-122.2900000
75700,3.3929000,52,1121,211,554,187,37.8300000,-122.2900000
75000,6.1183000,49,135,29,86,23,37.8200000,-122.2900000
86100,0.9011000,50,760,190,377,122,37.8100000,-122.2900000
76100,1.1910000,52,1224,237,521,159,37.8100000,-122.3000000
73500,2.5938000,48,828,182,392,133,37.8100000,-122.3000000
78400,1.1667000,52,1010,209,604,187,37.8100000,-122.3000000
84400,0.8056000,48,1455,354,788,332,37.8100000,-122.3000000
81300,2.6094000,52,1027,244,492,147,37.8000000,-122.2900000
85000,1.8516000,52,572,109,274,82,37.8100000,-122.3000000
129200,0.9802000,46,2801,644,1823,611,37.8100000,-122.2900000
82500,1.7719000,26,768,152,392,127,37.8100000,-122.2900000
95200,0.7286000,46,935,297,582,277,37.8100000,-122.2900000
75000,1.7500000,49,844,204,560,152,37.8100000,-122.2900000
67500,0.4999000,46,12,4,18,7,37.8100000,-122.2900000
137500,2.4830000,20,835,161,290,133,37.8100000,-122.2900000
177500,0.9241000,17,1237,462,762,439,37.8100000,-122.2800000
102100,2.4464000,36,2914,562,1236,509,37.8100000,-122.2800000
108300,1.1111000,19,1207,243,721,207,37.8100000,-122.2800000
112500,0.8026000,23,1745,374,1054,325,37.8100000,-122.2900000
131300,2.0114000,38,684,176,344,155,37.8000000,-122.2800000
162500,1.5000000,17,924,289,609,289,37.8100000,-122.2800000
112500,1.1667000,52,210,56,183,56,37.8100000,-122.2700000
112500,1.5208000,52,340,97,200,87,37.8100000,-122.2800000
137500,0.8075000,52,386,164,346,155,37.8100000,-122.2800000
118800,1.8088000,35,948,184,467,169,37.8100000,-122.2800000
98200,2.4083000,52,773,143,377,115,37.8100000,-122.2800000
118800,0.9770000,40,880,451,582,380,37.8100000,-122.2700000
162500,0.7600000,10,875,348,546,330,37.8100000,-122.2700000
137500,0.9722000,10,105,42,125,39,37.8000000,-122.2700000
500001,1.2434000,52,249,78,396,85,37.8000000,-122.2700000
162500,2.0938000,16,994,392,800,362,37.8000000,-122.2700000
137500,0.8668000,52,215,87,904,88,37.8000000,-122.2800000
162500,0.7500000,52,96,31,191,34,37.8000000,-122.2800000
187500,2.6354000,27,1055,347,718,302,37.7900000,-122.2700000
179200,1.8477000,39,1715,623,1327,467,37.8000000,-122.2700000
130000,2.0096000,36,5329,2477,3469,2323,37.8000000,-122.2600000
183800,2.8345000,31,4596,1331,2048,1180,37.8200000,-122.2600000
125000,2.0062000,29,335,107,202,91,37.8100000,-122.2600000
170000,1.2185000,22,3682,1270,2024,1250,37.8200000,-122.2600000
193100,2.6104000,37,3633,1085,1838,980,37.8200000,-122.2600000
257800,2.4912000,29,4656,1414,2304,1250,37.8100000,-122.2500000
273400,3.2177000,28,5806,1603,2563,1497,37.8100000,-122.2500000
237500,3.1250000,39,854,242,389,228,37.8100000,-122.2500000
350000,2.5795000,52,2155,701,895,613,37.8100000,-122.2500000
335700,2.8406000,34,5871,1914,2689,1789,37.8100000,-122.2600000
313400,4.9306000,52,1509,225,674,244,37.8200000,-122.2400000
268500,3.2727000,52,2026,482,709,456,37.8100000,-122.2400000
259400,3.1691000,52,1758,460,686,422,37.8100000,-122.2500000
275700,3.9000000,52,3481,751,1444,718,37.8200000,-122.2400000
225000,3.9063000,28,3337,855,1520,802,37.8200000,-122.2500000
262500,5.0917000,52,1424,289,550,253,37.8200000,-122.2500000
218500,2.6429000,32,3809,1098,1806,1022,37.8200000,-122.2500000
